440225	H>D	55aa0046fe00010005000000000000020001a256
474341	D>H	aa55014600fe01000500000000000002000104a1000004080105323032332e30362e3136204d52563431365f4d43555f56312e382e312e332e42340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000518f04080105534600000000000000000000000000000000000000004d43552de99b85e789b9e58a9befbc88e696b0efbc8900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c6dd36e
476102	H>D	55aa0048fe00010105000000000000020001a556
510230	D>H	aa55014800fe01010500000000000002000104a1000004080105323032332e30362e3136204d52563431365f4d43555f56312e382e312e332e42340000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000518f04080105534600000000000000000000000000000000000000004d43552de99b85e789b9e58a9befbc88e696b0efbc8900000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000c6dd66e
514208	H>D	55aa004afe00010000000000000000020100a156
514597	D>H	aa55004a00fe0100000000000000000201001cbd56
515835	H>D	55aa004bfe00010001000000000000020100a356
549785	D>H	aa55014b00fe0100010000000000000201001cc056
550039	H>D	55aa004cfe00010100000000000000020100a456
550441	D>H	aa55004c00fe0101000000000000000201001cc056
550541	H>D	55aa004dfe00010101000000000000020100a656
550936	D>H	aa55004d00fe0101010000000000000201001cc256
551040	H>D	55aa004efe00010102000000000000020100a856
585032	D>H	aa55014e00fe0101020000000000000201001cc556
585316	H>D	55aa004ffe01010000000000000000020100a75655aa0057fe00000000000000020000000200ae56
1197633	D>H	aa55005700fe0000000000000200000002000100af56
1198768	H>D	55aa0019fe000000000000001600000008008a56
1199198	D>H	aa55001900fe0000000000001600000008000030e201000006d57858
1199850	H>D	55aa007ffe000000000000000000001458003e57
1200131	D>H	5555
1267478	H>D	55aa0001fe000000000000000600000001005b56
1267859	D>H	aa55000100fe000000000000060000000100ff5a57
1268556	H>D	55aa00c4fe010000000000000200000002001c5755aa0050fe00010000000000000000020100a756
1351514	D>H	aa55005000fe0100000000000000000201001cc356
1352434	H>D	55aa0051fe00010001000000000000020100a956
1386430	D>H	aa55015100fe0100010000000000000201001cc656
1386676	H>D	55aa0052fe00010100000000000000020100aa56
1387065	D>H	aa55005200fe0101000000000000000201001cc656
1387258	H>D	55aa0053fe00010101000000000000020100ac56
1387663	D>H	aa55005300fe0101010000000000000201001cc856
1387760	H>D	55aa0054fe00010102000000000000020100ae56
1421744	D>H	aa55015400fe0101020000000000000201001ccb56
1422014	H>D	55aa0055fe01010000000000000000020100ad5655aa0056fe00000000000000020000000200ad56
1861957	D>H	aa55005600fe0000000000000200000002000100ae56
1862360	H>D	55aa0057fe00000000000000000000050001b056
1862880	D>H	aa55005700fe0000000000000000000500014e535344d959e90307001c5692000000b2000000e6a0000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000495d
1864442	H>D	55aa0058fe00000000000000000100050001b256
1864971	D>H	aa55005800fe00000000000000010005000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b256
1866420	H>D	55aa0059fe00000000000000000000050001b256
1866966	D>H	aa55005900fe0000000000000000000500014e535344d959e90307001c5692000000b2000000e6a00000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000004b5d
1868406	H>D	55aa005afe00000000000000000100050001b456
1868932	D>H	aa55005a00fe00000000000000010005000100000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000000b456
1870494	H>D	55aa005bfe00000000000000000000000001af56
1871016	D>H	aa55005b00fe00000000000000000000000139f601000101ffffffffffffffffffffffffffffffff0030e201000006d5ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffdd4a
